,ucs_ra,ucs_dec,spectral_type,r_P1,i_P1,z_P1,y_P1,rerr_P1,ierr_P1,zerr_P1,yerr_P1,J_2MASS,Ks_2MASS,Jerr_2MASS,Kserr_2MASS,W1,W2,W1err,W2err,ucs_pmra,ucs_pmdec,r_i_P1,i_z_P1,z_y_P1,J_Ks_2MASS,w1_w2_all,DES_r,DES_i,DES_z,DES_y,VISTA_J,VISTA_Ks,CAT_W1,CAT_W2
34,3.7046,-8.639,10.0,20.1,17.4,16.25,15.75,0.01,0.01,0.0,0.01,14.469,13.769,0.028,0.045,13.429,13.204,0.025,0.03,1477.2,-257.96,2.700000000000003,1.1499999999999986,0.5,0.6999999999999993,0.22499999999999964,19.556984807816836,17.090709403927463,15.96533786442674,15.695249473325887,14.3577417242512,13.799679910628866,13.439393096614184,13.23406972961738
35,3.7324,-48.738,12.5,,,,,,,,,14.05,12.723,0.035,0.03,12.267,11.987,0.023,0.022,870.73,281.5,,,,1.327,0.27999999999999936,,,,,13.953352159780211,12.78077938254734,12.277184369449362,12.018059522255475
36,3.7586,29.9923,17.0,,21.44,19.35,18.29,,0.04,0.01,0.02,16.158,14.482,0.081,0.073,13.733,13.388,0.026,0.032,381.54,-227.08,,2.09,1.0600000000000023,1.676000000000002,0.34500000000000064,,20.64376852653783,18.765299752744493,18.196056224869796,16.06948460316079,14.554863458623172,13.742937691890939,13.420229277191407
37,3.7745,-46.255,28.0,,,,,,,,,,,,,16.96,14.218,0.101,0.043,409.7,-682.9,,,,,2.742000000000001,,,,,,,16.960840982544084,14.293366239982625
38,3.9366,35.2674,12.0,20.38,18.18,16.81,15.88,0.03,0.01,0.01,0.01,13.878,12.264,0.031,0.024,11.794,11.538,0.023,0.021,55.2,-257.1,2.1999999999999993,1.370000000000001,0.9299999999999979,1.6140000000000008,0.2560000000000002,20.128925655411656,17.75674451772989,16.294951457242156,15.795154657547105,13.788039871098912,12.334183766025173,11.804275450394012,11.56862761274067
39,3.9888,4.2511,5.5,,,,,,,,,,13.95,,0.12,,,,,20.09,-14.58,,,,,,,,,,,,,
40,4.0352,-0.7174,15.5,,21.05,19.63,18.65,,0.03,0.03,0.02,16.326,14.541,0.116,0.09,13.838,13.39,0.026,0.032,133.0,-25.0,,1.4200000000000017,0.9800000000000004,1.7850000000000001,0.4479999999999986,,20.60084340723044,19.088162340127667,18.561655260363523,16.240024535334094,14.618574531093849,13.847546802836817,13.424082888859115
41,4.1568,-10.653,10.0,,19.7,18.23,17.34,,0.02,0.01,0.01,15.455,14.533,0.052,0.096,14.136,13.823,0.028,0.041,-120.0,-191.9,,1.4699999999999989,0.8900000000000006,0.9220000000000006,0.31299999999999883,,19.22494229673099,17.736382750933746,17.257954175293968,15.348914797117931,14.573274938963635,14.14605913315047,13.854653397838332
42,4.182,23.0739,20.0,,,20.37,18.9,,,0.06,0.03,16.412,14.973,,,14.325,13.667,0.029,0.035,405.4,61.8,,,1.4700000000000024,1.4389999999999983,0.6579999999999995,,,19.565628992405703,18.777361167964447,16.317961998343602,15.03562011756308,14.333749844571134,13.704862097113663
43,4.2481,-40.9483,13.5,,,,,,,,,15.316,13.432,0.061,0.038,12.828,12.452,0.024,0.022,212.8,18.2,,,,1.8840000000000003,0.37599999999999945,,,,,15.232331446207096,13.513853395080977,12.837820045670764,12.484787160314697
44,4.618,-67.0536,10.4,,,,,,,,,15.457,13.711,0.059,0.04,13.191,12.801,0.024,0.025,85.3,-56.7,,,,1.7460000000000004,0.39000000000000057,,,,,15.370115752262913,13.78688891800801,13.20076691511972,12.834039107531668
45,4.6357,56.8369,24.5,,,20.56,18.85,,,0.1,0.03,16.48,16.239,0.154,,,,,,376.0,10.4,,,1.7099999999999973,0.24099999999999966,,,,19.627041230256168,18.710564061483268,16.358046046567285,16.249841541234,,
46,4.6519,-0.4331,19.0,,,20.71,19.7,,,0.06,0.05,,,,,14.913,14.379,0.033,0.052,153.0,-33.0,,,1.0100000000000016,,0.5340000000000007,,,20.15208886985898,19.609555622053378,,,14.922220429451825,14.4146305646205
47,4.692,-63.9366,12.0,,,,,,,,,15.224,13.611,0.044,0.041,13.286,13.021,0.024,0.025,332.6,-391.9,,,,1.6129999999999995,0.2649999999999988,,,,,15.13401656896888,13.68114054517682,13.296241295039769,13.051789578808721
48,4.7133,51.8918,17.0,,,20.18,19.15,,,0.05,0.1,16.823,14.644,0.149,0.074,13.588,13.03,0.043,0.039,287.6,-10.0,,,1.0300000000000011,2.1790000000000003,0.5579999999999998,,,19.61137322301318,19.058155863179945,16.746205574566037,14.738603545345649,13.597129348507174,13.066062474135306
49,4.7815,41.0235,10.1,20.78,18.11,16.66,15.84,0.04,0.01,0.01,0.0,14.15,13.077,0.026,0.026,12.779,12.46,0.023,0.024,99.5,-132.3,2.6700000000000017,1.4499999999999993,0.8200000000000003,1.0730000000000004,0.31899999999999906,20.254501258672526,17.64530274093077,16.203887514894028,15.762853331350978,14.04743341875251,13.123801287065215,12.789036362914308,12.491761375217035
50,4.7985,0.5049,11.0,21.72,19.34,17.87,16.9,0.07,0.02,0.0,0.01,14.921,13.568,0.037,0.034,13.258,13.01,0.025,0.028,-33.5,-44.2,2.379999999999999,1.4699999999999989,0.9700000000000024,1.3529999999999998,0.24799999999999933,21.36382695027752,18.86494229673099,17.333520163550567,16.81235513980024,14.824958015160997,13.626903124604565,13.268305810708894,13.0404836429024
51,4.8038,-62.4334,11.0,,,,,,,,,15.64,13.957,0.061,0.052,13.375,12.958,0.024,0.024,88.0,-58.3,,,,1.6829999999999998,0.4169999999999998,,,,,15.551647718071003,14.030166004561657,13.38466444905699,12.991525005735824
52,4.8594,46.2355,8.0,18.81,16.21,14.94,14.21,0.01,0.0,0.0,0.0,12.603,11.502,0.021,0.014,11.28,11.018,0.023,0.02,122.44,-85.55,2.599999999999998,1.2700000000000014,0.7299999999999986,1.100999999999999,0.2619999999999987,18.3253729773358,15.838546738728787,14.532107925700103,14.139152246281423,12.501085878393358,11.55001147081915,11.290252680157849,11.048735590119371
53,4.8865,40.3159,12.0,,20.19,18.66,17.63,,0.02,0.01,0.01,15.544,14.318,0.059,0.066,13.759,13.441,0.024,0.029,-78.2,-193.0,,1.5300000000000011,1.0300000000000011,1.2260000000000009,0.3179999999999996,,19.683860964131654,18.091373223013182,17.538155863179945,15.444998644647148,14.371414076863502,13.769040157953668,13.472743378987252
54,4.9137,-37.4109,13.0,,,,,,,,,15.519,13.689,0.06,0.058,13.141,12.831,0.023,0.024,162.0,18.5,,,,1.83,0.3100000000000005,,,,,15.434073131185459,13.768519469269815,13.15107051826855,12.86259940914898
55,4.941,52.2216,9.0,19.58,16.88,15.45,14.55,0.01,0.0,0.0,0.0,12.792,11.622,0.023,0.019,11.343,11.102,0.023,0.021,310.68,-279.13,2.6999999999999993,1.4299999999999997,0.8999999999999986,1.17,0.24099999999999966,19.036984807816836,16.42566318513055,14.951024927510849,14.467254295857252,12.69169372536545,11.672993709355632,11.353332375984419,11.132357669293915
56,5.2747,-42.7454,9.5,,,,,,,,,13.521,12.304,0.025,0.025,11.912,11.607,0.023,0.022,258.6,-1.9,,,,1.2170000000000005,0.3050000000000015,,,,,13.421788925476875,12.357025089228308,11.922089493465354,11.638509428000063
57,5.2948,-42.7612,6.0,,,,,,,,,12.001,11.054,0.022,0.026,10.839,10.624,0.023,0.021,255.05,-12.53,,,,0.9469999999999992,0.21499999999999986,,,,,11.89549735036869,11.095355460172508,10.849431047007789,10.653889767319543
58,5.4119,0.435,11.5,,21.67,20.28,19.29,,0.06,0.02,0.03,16.953,16.08,0.157,0.235,15.756,15.347,0.051,0.104,128.0,-66.0,,1.3900000000000006,0.990000000000002,0.8730000000000011,0.4090000000000007,,21.23638407353011,19.73280451670477,19.20095538092681,16.845772992746443,16.118157117394247,15.765694809371873,15.380381035897555
59,5.5388,-1.1778,10.0,,19.77,18.31,17.43,,0.01,0.01,0.01,15.816,14.699,0.066,0.101,14.373,14.077,0.029,0.047,116.3,48.5,,1.4600000000000009,0.879999999999999,1.1170000000000009,0.2959999999999994,,19.300122518830882,17.821740574356642,17.348654054730684,15.714458712473844,14.747703004392827,14.383123648819597,14.108347461932011
60,5.6307,-6.8671,23.0,,,20.11,18.61,,,0.02,0.03,16.239,15.097,0.086,0.138,14.465,13.683,0.03,0.035,-106.7,-7.2,,,1.5,1.1420000000000012,0.782,,,19.28955552213701,18.4852615296543,16.1380412657246,15.146783525601696,14.473279259690447,13.723093629606828
61,6.027,13.7849,13.0,,22.64,21.18,20.28,,0.12,0.1,0.04,,,,,15.946,15.915,0.055,0.19,-110.0,-30.0,,1.4600000000000009,0.8999999999999986,,0.031000000000000583,,22.170122518830883,20.681024927510848,20.197254295857253,,,15.9571293342501,15.941578461039365
62,6.0957,0.3798,24.5,,,,20.96,,,,0.16,,,,,16.96,15.892,0.118,0.179,,,,,,,1.0680000000000014,,,,,,,16.967193878433378,15.937240551324928
63,6.1026,-1.9722,9.5,18.56,16.17,14.73,13.77,0.01,0.0,0.0,0.0,11.992,10.539,0.035,0.023,10.174,9.913,0.024,0.019,-77.2,141.11,2.389999999999997,1.4400000000000013,0.9600000000000009,1.4530000000000012,0.26099999999999923,18.197988133325623,15.710482963030662,14.198877986973464,13.683055019236955,11.89828822816403,10.602225209440046,10.18425647519721,9.943717593889588
64,6.1836,-27.1374,6.0,14.63,,,,0.01,,,,9.254,8.241,0.034,0.03,7.811,7.613,0.023,0.02,-113.4,677.9,,,,1.013,0.1979999999999995,,,,,9.15003529095069,8.285208036163924,7.821495562676914,7.642583831413221
65,6.2654,47.9886,14.0,,,18.2,17.17,,,0.01,0.01,14.84,12.902,0.038,0.057,11.787,11.608,0.022,0.021,280.07,0.48,,,1.0299999999999976,1.9380000000000006,0.17900000000000027,,,17.631373223013185,17.078155863179948,14.757589761228733,12.986187320892135,11.797567668424763,11.637241903047334
66,6.4634,-7.8022,6.0,18.37,16.85,16.16,15.87,0.0,0.01,0.01,0.01,14.684,13.879,0.043,0.058,13.775,13.576,0.026,0.037,396.8,-711.31,1.5199999999999996,0.6900000000000013,0.2900000000000009,0.8049999999999997,0.19899999999999984,18.51596520814061,16.778999620522395,15.987852156307582,15.82994694149692,14.575188447904383,13.914218099706122,13.785491767637554,13.605601827643007
67,6.5477,-9.728,11.0,,20.05,18.54,17.56,,0.02,0.01,0.01,15.601,14.379,0.068,0.073,14.04,13.815,0.027,0.04,-215.2,-155.4,,1.5100000000000016,0.9800000000000004,1.2220000000000013,0.22499999999999964,,19.554221408331433,17.998162340127667,17.471655260363523,15.501905436127027,14.432241193470082,14.050393096614183,13.845069729617379
